URL,da_inf
https://hr.wikipedia.org/wiki/Kosovo,javnost da vjeruje
https://hr.wikipedia.org/wiki/%C4%8Cetnici,zadaćom da vodi
https://hr.wikipedia.org/wiki/%C4%8Cetnici,težnje da ovlada
https://hr.wikipedia.org/wiki/%C4%8Cetnici,potencijal da pomognu
https://hr.wikipedia.org/wiki/Usta%C5%A1e,jugoslaviji da naplati
https://hr.wikipedia.org/wiki/Usta%C5%A1e,mačeka da proglasi
https://hr.wikipedia.org/wiki/Nacionalizam,umjesto da nastaje
https://hr.wikipedia.org/wiki/Nacionalizam,stoljeća da osiguraju
